clip,evaluator,set,relevance,emotion_alignment,subtext,authenticity,preference
audio_14,E2,Y,5,5,4,4,Y
audio_14,E3,X,3,3,2,2,Y
audio_14,E3,Y,3,3,2,2,Y
audio_14,E4,X,7,7,6,7,Y
audio_14,E4,Y,5,6,5,4,Y
audio_14,E5,X,4,4,3,4,Y
audio_14,E5,Y,5,6,4,5,Y
audio_15,E1,X,6,5,6,6,X
audio_15,E1,Y,5,6,5,5,X
audio_15,E2,X,4,4,4,4,Y
audio_15,E2,Y,5,6,4,5,Y
audio_15,E3,X,5,5,4,4,X
audio_15,E3,Y,4,5,3,3,X
audio_15,E4,X,4,4,3,4,Y
audio_15,E4,Y,4,4,3,3,Y
audio_15,E5,X,4,4,3,3,Y
audio_15,E5,Y,4,5,3,3,Y
audio_16,E1,X,5,6,5,5,Y
audio_16,E1,Y,6,5,5,6,Y
audio_16,E2,X,4,5,4,3,X
audio_16,E2,Y,5,5,4,5,X
audio_16,E3,X,3,4,3,3,X
audio_16,E3,Y,5,5,4,5,X
audio_16,E4,X,4,5,4,3,Y
audio_16,E4,Y,6,6,5,5,Y
audio_16,E5,X,3,4,3,3,X
audio_16,E5,Y,5,5,5,5,X
audio_17,E1,X,6,5,5,6,X
audio_17,E1,Y,5,6,5,5,X
audio_17,E2,X,5,5,4,4,X
audio_17,E2,Y,4,4,3,3,X
audio_17,E3,X,6,6,6,6,X
audio_17,E3,Y,7,7,6,7,X
audio_17,E4,X,4,4,3,4,X
audio_17,E4,Y,3,4,2,3,X
audio_17,E5,X,4,4,3,4,Y
audio_17,E5,Y,4,5,3,4,Y
audio_18,E1,X,6,6,6,6,X
audio_18,E1,Y,5,5,5,5,X
audio_18,E2,X,4,5,4,3,Y
audio_18,E2,Y,4,4,4,4,Y
audio_18,E3,X,3,3,3,3,X
audio_18,E3,Y,3,3,2,2,X
audio_18,E4,X,5,6,5,4,Y
audio_18,E4,Y,5,5,4,4,Y
audio_18,E5,X,7,7,7,7,X
audio_18,E5,Y,6,6,6,5,X
audio_19,E1,X,5,5,5,5,Y
audio_19,E1,Y,6,6,5,6,Y
audio_19,E2,X,5,5,5,4,Y
audio_19,E2,Y,4,5,3,3,Y
audio_19,E3,X,4,4,3,3,Y
audio_19,E3,Y,4,5,3,4,Y
audio_19,E4,X,5,5,4,5,Y
audio_19,E4,Y,6,7,5,6,Y
audio_19,E5,X,4,4,4,3,Y
audio_19,E5,Y,4,5,4,4,Y
audio_20,E1,X,5,6,5,5,Y
audio_20,E1,Y,6,5,5,6,Y
audio_20,E2,X,5,6,5,4,X
audio_20,E2,Y,5,5,5,4,X
audio_20,E3,X,3,4,3,3,Y
audio_20,E3,Y,3,3,3,2,Y
audio_20,E4,X,4,4,3,4,Y
audio_20,E4,Y,5,5,4,5,Y
audio_20,E5,X,3,3,2,2,X
audio_20,E5,Y,5,5,5,5,X
audio_21,E1,X,6,6,6,6,X
audio_21,E1,Y,5,5,5,5,X
audio_21,E2,X,3,3,2,2,Y
audio_21,E2,Y,4,4,3,3,Y
audio_21,E3,X,4,4,4,4,X
audio_21,E3,Y,5,5,4,4,X
audio_21,E4,X,7,7,6,6,X
audio_21,E4,Y,5,5,4,4,X
audio_21,E5,X,5,6,4,4,Y
audio_21,E5,Y,6,6,5,6,Y
audio_22,E1,X,6,6,5,6,X
audio_22,E1,Y,5,5,5,5,X
audio_22,E2,X,5,6,5,4,X
audio_22,E2,Y,5,5,4,4,X
audio_22,E3,X,4,5,3,4,Y
audio_22,E3,Y,3,3,2,3,Y
audio_22,E4,X,3,4,2,2,Y
audio_22,E4,Y,5,5,5,5,Y
audio_22,E5,X,7,7,7,6,X
audio_22,E5,Y,5,5,5,4,X
audio_23,E1,X,6,6,5,6,X
audio_23,E1,Y,4,5,4,4,X
audio_23,E2,X,6,7,5,5,Y
audio_23,E2,Y,5,5,5,5,Y
audio_23,E3,X,6,7,5,6,Y
audio_23,E3,Y,5,5,4,4,Y
audio_23,E4,X,6,7,5,6,X
audio_23,E4,Y,6,6,5,6,X
audio_23,E5,X,7,7,6,6,Y
audio_23,E5,Y,6,6,5,6,Y
audio_24,E1,X,6,6,6,6,X
audio_24,E1,Y,4,5,4,4,X
audio_24,E2,X,5,5,5,4,Y
audio_24,E2,Y,5,4,4,5,Y
audio_24,E3,X,5,5,4,5,X
audio_24,E3,Y,4,4,4,3,X
audio_24,E4,X,3,4,3,3,X
audio_24,E4,Y,3,3,3,2,X
audio_24,E5,X,5,5,4,4,X
audio_24,E5,Y,3,3,2,3,X
audio_25,E1,X,6,5,6,6,X
audio_25,E1,Y,5,6,5,5,X
audio_25,E2,X,4,4,4,4,Y
audio_25,E2,Y,5,6,4,4,Y
audio_25,E3,X,6,6,5,5,Y
audio_25,E3,Y,4,5,3,3,Y
audio_25,E4,X,5,5,4,5,Y
audio_25,E4,Y,5,6,4,4,Y
audio_25,E5,X,5,5,4,5,Y
audio_25,E5,Y,6,7,6,5,Y
audio_26,E1,X,4,6,4,4,Y
audio_26,E1,Y,5,5,4,5,Y
audio_26,E2,X,4,4,3,3,X
audio_26,E2,Y,5,5,5,4,X
audio_26,E3,X,7,7,6,7,Y
audio_26,E3,Y,6,6,6,5,Y
audio_26,E4,X,5,6,4,5,X
audio_26,E4,Y,5,4,5,5,X
audio_26,E5,X,5,6,5,4,X
audio_26,E5,Y,5,5,5,5,X
audio_27,E1,X,6,6,6,5,X
audio_27,E1,Y,5,5,5,5,X
audio_27,E2,X,5,6,5,4,X
audio_27,E2,Y,5,5,4,4,X
audio_27,E3,X,5,6,5,5,X
audio_27,E3,Y,5,4,5,4,X
audio_27,E4,X,6,6,6,5,X
audio_27,E4,Y,5,5,4,5,X
audio_27,E5,X,6,7,5,5,Y
audio_27,E5,Y,5,5,5,5,Y
audio_28,E1,X,6,6,6,5,X
audio_28,E1,Y,5,5,5,5,X
audio_28,E2,X,4,5,4,4,X
audio_28,E2,Y,4,4,4,4,X
audio_28,E3,X,4,4,4,4,X
audio_28,E3,Y,5,5,4,4,X
audio_28,E4,X,6,7,6,6,X
audio_28,E4,Y,6,6,5,5,X
audio_28,E5,X,6,6,5,6,X
audio_28,E5,Y,6,5,5,6,X
audio_29,E1,X,6,6,5,6,X
audio_29,E1,Y,4,5,4,4,X
audio_29,E2,X,5,6,5,4,X
audio_29,E2,Y,4,4,3,3,X
audio_29,E3,X,6,7,5,6,X
audio_29,E3,Y,5,5,5,4,X
audio_29,E4,X,6,7,6,5,X
audio_29,E4,Y,5,5,5,4,X
audio_29,E5,X,4,5,4,4,X
audio_29,E5,Y,5,5,5,5,X
audio_30,E1,X,4,6,4,4,Y
audio_30,E1,Y,5,5,5,5,Y
audio_30,E2,X,5,6,5,5,Y
audio_30,E2,Y,5,5,4,5,Y
audio_30,E3,X,7,7,7,6,X
audio_30,E3,Y,6,6,6,5,X
audio_30,E4,X,6,7,5,6,Y
audio_30,E4,Y,6,6,5,6,Y
audio_30,E5,X,5,6,5,5,Y
audio_30,E5,Y,6,5,6,6,Y
audio_31,E1,X,5,5,5,5,Y
audio_31,E1,Y,5,6,5,5,Y
audio_31,E2,X,7,7,6,6,X
audio_31,E2,Y,5,6,5,5,X
audio_31,E3,X,4,4,4,4,X
audio_31,E3,Y,4,5,3,3,X
audio_31,E4,X,6,5,6,6,X
audio_31,E4,Y,6,7,6,6,X
audio_31,E5,X,5,5,4,5,X
audio_31,E5,Y,7,7,6,7,X
audio_32,E1,X,6,5,5,6,Y
audio_32,E1,Y,6,6,6,6,Y
audio_32,E2,X,5,5,5,5,Y
audio_32,E2,Y,5,6,5,4,Y
audio_32,E3,X,7,7,7,6,Y
audio_32,E3,Y,5,5,5,5,Y
audio_32,E4,X,6,6,5,6,Y
audio_32,E4,Y,5,6,4,4,Y
audio_32,E5,X,6,6,5,5,Y
audio_32,E5,Y,6,6,5,5,Y
audio_33,E1,X,6,6,5,6,X
audio_33,E1,Y,4,5,4,4,X
audio_33,E2,X,6,6,6,6,Y
audio_33,E2,Y,5,5,5,5,Y
audio_33,E3,X,3,4,2,2,X
audio_33,E3,Y,3,2,3,2,X
audio_33,E4,X,5,5,5,5,X
audio_33,E4,Y,6,6,6,5,X
audio_33,E5,X,5,6,4,5,Y
audio_33,E5,Y,5,5,5,4,Y
audio_34,E1,X,6,5,5,6,Y
audio_34,E1,Y,6,6,6,6,Y
audio_34,E2,X,5,5,4,5,Y
audio_34,E2,Y,7,7,7,7,Y
audio_34,E3,X,6,6,6,5,Y
audio_34,E3,Y,6,6,6,6,Y
audio_34,E4,X,3,3,3,2,Y
audio_34,E4,Y,3,3,3,3,Y
audio_34,E5,X,7,7,7,6,Y
audio_34,E5,Y,7,7,6,6,Y
audio_35,E1,X,6,6,6,6,X
audio_35,E1,Y,4,5,4,4,X
audio_35,E2,X,7,7,7,6,X
audio_35,E2,Y,5,5,5,4,X
audio_35,E3,X,5,6,5,4,Y
audio_35,E3,Y,7,7,7,6,Y
audio_35,E4,X,7,7,6,7,X
audio_35,E4,Y,5,5,5,5,X
audio_35,E5,X,4,5,3,3,Y
audio_35,E5,Y,6,6,6,6,Y
audio_36,E1,X,6,5,5,6,X
audio_36,E1,Y,5,6,5,5,X
audio_36,E2,X,5,5,5,4,Y
audio_36,E2,Y,4,5,3,3,Y
audio_36,E3,X,5,5,4,4,Y
audio_36,E3,Y,5,6,5,5,Y
audio_36,E4,X,4,4,3,3,Y
audio_36,E4,Y,6,7,5,6,Y
audio_36,E5,X,4,3,3,3,Y
audio_36,E5,Y,6,7,5,5,Y
audio_37,E1,X,6,6,6,6,X
audio_37,E1,Y,5,5,5,5,X
audio_37,E2,X,3,4,3,3,X
audio_37,E2,Y,4,4,3,4,X
audio_37,E3,X,6,7,5,6,Y
audio_37,E3,Y,6,6,5,5,Y
audio_37,E4,X,7,7,6,7,X
audio_37,E4,Y,7,7,7,6,X
audio_37,E5,X,5,5,5,5,Y
audio_37,E5,Y,7,7,7,6,Y
audio_38,E1,X,6,5,5,6,Y
audio_38,E1,Y,6,6,6,6,Y
audio_38,E2,X,6,6,5,5,X
audio_38,E2,Y,6,6,6,5,X
audio_38,E3,X,7,7,7,6,Y
audio_38,E3,Y,5,6,5,4,Y
audio_38,E4,X,5,5,5,4,X
audio_38,E4,Y,4,4,4,4,X
audio_38,E5,X,6,6,5,5,X
audio_38,E5,Y,5,6,4,5,X
audio_39,E1,X,5,5,4,5,Y
audio_39,E1,Y,5,6,5,5,Y
audio_39,E2,X,7,7,7,7,Y
audio_39,E2,Y,7,7,7,6,Y
audio_39,E3,X,5,5,4,4,Y
audio_39,E3,Y,3,3,3,3,Y
audio_39,E4,X,7,7,6,6,Y
audio_39,E4,Y,5,5,4,4,Y
audio_39,E5,X,7,7,7,6,X
audio_39,E5,Y,5,5,5,4,X
audio_40,E1,X,6,5,5,6,X
audio_40,E1,Y,5,6,5,5,X
audio_40,E2,X,4,4,3,3,Y
audio_40,E2,Y,5,6,5,4,Y
audio_40,E3,X,5,5,5,5,X
audio_40,E3,Y,6,6,5,6,X
audio_40,E4,X,6,6,5,6,Y
audio_40,E4,Y,4,5,3,3,Y
audio_40,E5,X,5,5,5,5,X
audio_40,E5,Y,5,6,5,5,X
audio_41,E1,X,4,4,4,4,Y
audio_41,E1,Y,6,5,5,6,Y
audio_41,E2,X,6,6,6,5,X
audio_41,E2,Y,6,7,5,5,X
audio_41,E3,X,7,7,7,7,X
audio_41,E3,Y,6,6,6,5,X
audio_41,E4,X,5,5,5,5,Y
audio_41,E4,Y,4,5,3,4,Y
audio_41,E5,X,6,5,5,5,Y
audio_41,E5,Y,6,7,6,5,Y
audio_42,E1,X,6,5,5,6,X
audio_42,E1,Y,5,6,5,5,X
audio_42,E2,X,4,4,4,4,X
audio_42,E2,Y,6,6,6,6,X
audio_42,E3,X,7,7,6,6,Y
audio_42,E3,Y,6,7,6,6,Y
audio_42,E4,X,3,3,2,2,Y
audio_42,E4,Y,4,5,3,3,Y
audio_42,E5,X,5,5,5,5,Y
audio_42,E5,Y,5,6,4,4,Y
audio_43,E1,X,6,6,5,6,X
audio_43,E1,Y,4,5,3,4,X
audio_43,E2,X,6,7,6,6,X
audio_43,E2,Y,5,5,5,5,X
audio_43,E3,X,6,7,5,5,Y
audio_43,E3,Y,5,5,5,4,Y
audio_43,E4,X,4,5,3,3,Y
audio_43,E4,Y,4,3,3,3,Y
audio_43,E5,X,5,6,5,4,Y
audio_43,E5,Y,4,4,3,4,Y
audio_44,E1,X,5,6,6,5,X
audio_44,E1,Y,5,5,5,5,X
audio_44,E2,X,5,6,4,5,Y
audio_44,E2,Y,5,5,4,4,Y
audio_44,E3,X,5,5,5,5,X
audio_44,E3,Y,4,4,3,4,X
audio_44,E4,X,6,7,6,5,Y
audio_44,E4,Y,5,5,4,4,Y
audio_44,E5,X,5,6,4,4,X
audio_44,E5,Y,4,4,4,4,X
audio_45,E1,X,6,6,6,6,X
audio_45,E1,Y,4,5,4,4,X
audio_45,E2,X,7,7,7,6,X
audio_45,E2,Y,5,5,5,4,X
audio_45,E3,X,6,6,5,5,Y
audio_45,E3,Y,6,5,5,5,Y
audio_45,E4,X,6,7,6,6,X
audio_45,E4,Y,6,6,6,6,X
audio_45,E5,X,3,4,3,2,Y
audio_45,E5,Y,4,4,4,3,Y
audio_46,E1,X,6,5,5,6,Y
audio_46,E1,Y,6,6,6,6,Y
audio_46,E2,X,4,3,4,4,Y
audio_46,E2,Y,4,5,4,4,Y
audio_46,E3,X,7,7,6,6,Y
audio_46,E3,Y,5,5,4,5,Y
audio_46,E4,X,5,5,4,4,X
audio_46,E4,Y,5,5,5,4,X
audio_46,E5,X,7,7,7,7,Y
audio_46,E5,Y,7,7,6,7,Y
audio_47,E1,X,6,6,5,6,X
audio_47,E1,Y,3,5,3,4,X
audio_47,E2,X,6,7,6,5,Y
audio_47,E2,Y,6,6,6,6,Y
audio_47,E3,X,4,5,3,3,X
audio_47,E3,Y,6,6,5,6,X
audio_47,E4,X,4,4,4,3,Y
audio_47,E4,Y,6,6,6,5,Y
audio_47,E5,X,5,6,4,5,X
audio_47,E5,Y,6,6,5,6,X
audio_48,E1,X,3,4,3,3,Y
audio_48,E1,Y,5,5,5,5,Y
audio_48,E2,X,6,6,5,6,Y
audio_48,E2,Y,5,6,4,5,Y
audio_48,E3,X,7,7,7,6,Y
audio_48,E3,Y,5,5,4,4,Y
audio_48,E4,X,5,5,5,4,Y
audio_48,E4,Y,5,5,4,5,Y
audio_48,E5,X,5,5,4,4,Y
audio_48,E5,Y,5,6,5,5,Y
audio_49,E1,X,5,5,5,5,Y
audio_49,E1,Y,6,6,6,6,Y
audio_49,E2,X,3,3,3,3,Y
audio_49,E2,Y,4,5,4,4,Y
audio_49,E3,X,6,6,5,6,X
audio_49,E3,Y,5,6,4,4,X
audio_49,E4,X,4,4,3,3,Y
audio_49,E4,Y,5,6,5,4,Y
audio_49,E5,X,5,5,5,4,Y
audio_49,E5,Y,7,7,7,6,Y
audio_50,E1,X,5,5,5,5,Y
audio_50,E1,Y,6,6,5,6,Y
audio_50,E2,X,5,5,4,5,Y
audio_50,E2,Y,5,6,5,5,Y
audio_50,E3,X,4,4,3,4,Y
audio_50,E3,Y,4,5,4,4,Y
audio_50,E4,X,6,6,5,6,Y
audio_50,E4,Y,5,6,5,4,Y
audio_50,E5,X,7,7,7,7,X
audio_50,E5,Y,7,7,7,6,X

